"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","County.Ret","Established.Ret","RetailerURLLink"
"128","ISSAQUAH CANNABIS COMPANY","May-2016","$673,314","$249,126","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"129","ISSAQUAH CANNABIS COMPANY","Apr-2016","$655,540","$242,550","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"130","ISSAQUAH CANNABIS COMPANY","Mar-2016","$645,694","$238,907","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"131","ISSAQUAH CANNABIS COMPANY","Feb-2016","$597,102","$220,928","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"132","ISSAQUAH CANNABIS COMPANY","Jan-2016","$602,837","$223,050","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"133","ISSAQUAH CANNABIS COMPANY","All-2015","$4,364,118","$1,573,382","King County","Retailer since Jan 2015","http://www.502data.com/license/414867"
"134","GREEN2GO","Oct-2016","$696,651","$257,761","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"135","GREEN2GO","Sep-2016","$696,123","$257,565","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"136","GREEN2GO","Aug-2016","$601,444","$222,534","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"137","GREEN2GO","Jul-2016","$510,125","$188,746","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"138","GREEN2GO","Jun-2016","$215,198","$79,623","Benton County","Retailer since Jun 2016","http://www.502data.com/license/422572"
"139","BUD HUT","Oct-2016","$692,186","$256,109","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"140","BUD HUT","Sep-2016","$699,487","$258,810","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"141","BUD HUT","Aug-2016","$696,184","$257,588","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"142","BUD HUT","Jul-2016","$698,708","$258,522","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"143","BUD HUT","Jun-2016","$615,075","$227,578","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"144","BUD HUT","May-2016","$647,069","$239,416","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"145","BUD HUT","Apr-2016","$670,565","$248,109","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"146","BUD HUT","Mar-2016","$659,641","$244,067","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"147","BUD HUT","Feb-2016","$600,724","$222,268","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"148","BUD HUT","Jan-2016","$576,518","$213,312","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"149","BUD HUT","All-2015","$3,474,343","$1,259,837","Snohomish County","Retailer since Mar 2015","http://www.502data.com/license/415504"
"150","THE STASH BOX","Oct-2016","$650,162","$240,560","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"151","THE STASH BOX","Sep-2016","$626,512","$231,809","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"152","THE STASH BOX","Aug-2016","$578,149","$213,915","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"153","THE STASH BOX","Jul-2016","$543,333","$201,033","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"154","THE STASH BOX","Jun-2016","$480,439","$177,762","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"155","THE STASH BOX","May-2016","$485,025","$179,459","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"156","THE STASH BOX","Apr-2016","$524,522","$194,073","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"157","THE STASH BOX","Mar-2016","$601,350","$222,500","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"158","THE STASH BOX","Feb-2016","$592,922","$219,381","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"159","THE STASH BOX","Jan-2016","$569,010","$210,534","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"160","THE STASH BOX","All-2015","$3,805,312","$1,370,984","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"161","THE STASH BOX","All-2014","$56,703","$18,901","King County","Retailer since Nov 2014","http://www.502data.com/license/412494"
"162","GANJA GODDESS","Oct-2016","$628,300","$232,471","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"163","GANJA GODDESS","Sep-2016","$657,285","$243,195","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"164","GANJA GODDESS","Aug-2016","$696,404","$257,669","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"165","GANJA GODDESS","Jul-2016","$711,836","$263,379","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"166","GANJA GODDESS","Jun-2016","$606,502","$224,406","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"167","GANJA GODDESS","May-2016","$606,103","$224,258","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"168","GANJA GODDESS","Apr-2016","$588,056","$217,581","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"169","GANJA GODDESS","Mar-2016","$563,839","$208,621","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"170","GANJA GODDESS","Feb-2016","$515,948","$190,901","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"171","GANJA GODDESS","Jan-2016","$505,426","$187,008","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"172","GANJA GODDESS","All-2015","$3,879,483","$1,389,642","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"173","GANJA GODDESS","All-2014","$196,762","$65,587","King County","Retailer since Nov 2014","http://www.502data.com/license/413558"
"174","SATIVA SISTERS","Oct-2016","$624,205","$230,956","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"175","SATIVA SISTERS","Sep-2016","$661,202","$244,645","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"176","SATIVA SISTERS","Aug-2016","$681,020","$251,977","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"177","SATIVA SISTERS","Jul-2016","$672,019","$248,647","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"178","SATIVA SISTERS","Jun-2016","$602,937","$223,087","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"179","SATIVA SISTERS","May-2016","$589,000","$217,930","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"180","SATIVA SISTERS","Apr-2016","$591,077","$218,698","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"181","SATIVA SISTERS","Mar-2016","$579,309","$214,344","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"182","SATIVA SISTERS","Feb-2016","$570,455","$211,068","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"183","SATIVA SISTERS","Jan-2016","$553,403","$204,759","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"184","SATIVA SISTERS","All-2015","$5,255,077","$1,876,577","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"185","SATIVA SISTERS","All-2014","$751,896","$250,632","Spokane County","Retailer since Aug 2014","http://www.502data.com/license/413739"
"186","TREEHOUSE CLUB","Oct-2016","$623,716","$230,775","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"187","TREEHOUSE CLUB","Sep-2016","$657,038","$243,104","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"188","TREEHOUSE CLUB","Aug-2016","$624,358","$231,012","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"189","TREEHOUSE CLUB","Jul-2016","$590,040","$218,315","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"190","TREEHOUSE CLUB","Jun-2016","$519,105","$192,069","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"191","TREEHOUSE CLUB","May-2016","$489,173","$180,994","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"192","TREEHOUSE CLUB","Apr-2016","$491,713","$181,934","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"193","TREEHOUSE CLUB","Mar-2016","$454,914","$168,318","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"194","TREEHOUSE CLUB","Feb-2016","$391,811","$144,970","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"195","TREEHOUSE CLUB","Jan-2016","$338,292","$125,168","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"196","TREEHOUSE CLUB","All-2015","$2,590,559","$934,453","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"197","TREEHOUSE CLUB","All-2014","$4,976","$1,659","Spokane County","Retailer since Dec 2014","http://www.502data.com/license/413369"
"198","GREEN COLLAR CANNBIS","Oct-2016","$621,537","$229,969","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"199","GREEN COLLAR CANNBIS","Sep-2016","$579,029","$214,241","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"200","GREEN COLLAR CANNBIS","Aug-2016","$488,596","$180,781","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"201","GREEN COLLAR CANNBIS","Jul-2016","$385,523","$142,643","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"202","GREEN COLLAR CANNBIS","Jun-2016","$242,770","$89,825","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"203","GREEN COLLAR CANNBIS","May-2016","$235,796","$87,245","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
"204","GREEN COLLAR CANNBIS","Apr-2016","$229,301","$84,841","Pierce County","Retailer since Aug 2015","http://www.502data.com/license/412923"
