"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","lat.Ret","lon.Ret","Address.Ret"
"13","GANJA GODDESS","2016-10",628300,232471,47.5751712,-122.334707,"3207 1ST AVE S UNIT A, SEATTLE WA 98134"
"25","HERBAN LEGENDS","2016-10",486182,179887,47.6121719,-122.3477274,"55 Bell St, Seattle, WA 98121, USA"
"99","OZ.","2016-10",189128,69977,47.6536448,-122.3429975,"3831 Stone Way N, Seattle, WA 98103, USA"
"88","PONDER","2016-10",209330,77452,47.6127099,-122.3007719,"2413 East Union Street, Seattle, WA 98122, USA"
"125","POT SHOP","2016-10",119495,44213,47.6338397,-122.3420538,"1628 Dexter Ave N, Seattle, WA 98100"
"117","POT STOP","2016-10",150852,55815,47.661264,-122.3503093,"4465 FREMONT AVE N, SEATTLE, WA 98103"
"55","RUCKUS","2016-10",291482,107848,47.6229705,-122.3129892,"1465 E REPUBLICAN ST, SEATTLE, WA 98112"
"66","SEATTLE CANNABIS COMPANY","2016-10",277776,102777,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"110","SEATTLE CANNABIS COMPANY","2016-10",173140,64062,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"1","UNCLE IKE'S","2016-10",1203513,445300,47.6131353,-122.3016857,"2310 E UNION ST. SEATTLE, WA 98122"
"133","UNCLE IKES","2016-10",57566,21299,47.6232591,-122.3128779,"501 15th Ave E, Seattle, WA 98112"
"138","VELA","2016-10",48648,18000,47.584691,-122.333694,"1944 1st Avenue South #100, Seattle, WA 98134"
