"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"102","SPINNING HEADS","All-2014","$53,868","$17,956","Pierce County","Producer/Processor since Mar 2015","http://www.502data.com/license/413718"
"103","DOUBLE DELICIOUS","Oct-2016","$425,615","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"104","DOUBLE DELICIOUS","Sep-2016","$360,455","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"105","DOUBLE DELICIOUS","Aug-2016","$273,313","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"106","DOUBLE DELICIOUS","Jul-2016","$270,066","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"107","DOUBLE DELICIOUS","Jun-2016","$232,731","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"108","DOUBLE DELICIOUS","May-2016","$215,085","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"109","DOUBLE DELICIOUS","Apr-2016","$219,421","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"110","DOUBLE DELICIOUS","Mar-2016","$206,375","-$3","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"111","DOUBLE DELICIOUS","Feb-2016","$186,481","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"112","DOUBLE DELICIOUS","Jan-2016","$217,810","$0","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"113","DOUBLE DELICIOUS","All-2015","$1,555,092","$176,273","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"114","DOUBLE DELICIOUS","All-2014","$144,281","$48,094","Chelan County","Producer/Processor since Jul 2015","http://www.502data.com/license/414462"
"115","AVITAS","Oct-2016","$406,352","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"116","AVITAS","Sep-2016","$380,710","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"117","AVITAS","Aug-2016","$367,484","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"118","AVITAS","Jul-2016","$304,386","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"119","AVITAS","Jun-2016","$212,493","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"120","AVITAS","May-2016","$303,941","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"121","AVITAS","Apr-2016","$322,157","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"122","AVITAS","Mar-2016","$331,944","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"123","AVITAS","Feb-2016","$326,976","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"124","AVITAS","Jan-2016","$346,839","$0","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"125","AVITAS","All-2015","$2,224,059","$216,243","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"126","AVITAS","All-2014","$578,117","$192,706","Snohomish County","Processor since Aug 2014","http://www.502data.com/license/412759"
"127","SOLSTICE PRO","Oct-2016","$398,517","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"128","SOLSTICE PRO","Sep-2016","$300,061","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"129","SOLSTICE PRO","Aug-2016","$423,372","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"130","SOLSTICE PRO","Jul-2016","$135,218","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"131","SOLSTICE PRO","Jun-2016","$237,676","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"132","SOLSTICE PRO","May-2016","$176,776","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"133","SOLSTICE PRO","Apr-2016","$135,180","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"134","SOLSTICE PRO","Mar-2016","$158,951","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"135","SOLSTICE PRO","Feb-2016","$128,021","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
"136","SOLSTICE PRO","Jan-2016","$104,780","$0","King County","Processor since Nov 2015","http://www.502data.com/license/412056"
