"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"117","BELLEVUE MARIJUANA","Apr-2016",474965,175737,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"118","BELLEVUE MARIJUANA","Mar-2016",453806,167908,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"119","BELLEVUE MARIJUANA","Feb-2016",428319,158478,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"120","BELLEVUE MARIJUANA","Jan-2016",392028,145050,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"121","BELLEVUE MARIJUANA","All-2015",2433288,880007,"King County","Retailer since Feb 2015","http://www.502data.com//license/415253"
"122","BUD HUT","Sep-2016",699487,258810,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"123","BUD HUT","Aug-2016",696184,257588,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"124","BUD HUT","Jul-2016",698708,258522,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"125","BUD HUT","Jun-2016",615075,227578,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"126","BUD HUT","May-2016",647069,239416,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"127","BUD HUT","Apr-2016",670565,248109,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"128","BUD HUT","Mar-2016",659641,244067,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"129","BUD HUT","Feb-2016",600724,222268,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"130","BUD HUT","Jan-2016",576518,213312,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"131","BUD HUT","All-2015",3474343,1259837,"Snohomish County","Retailer since Mar 2015","http://www.502data.com//license/415504"
"132","GREEN2GO","Sep-2016",696123,257565,"Benton County","Retailer since Jun 2016","http://www.502data.com//license/422572"
"133","GREEN2GO","Aug-2016",601444,222534,"Benton County","Retailer since Jun 2016","http://www.502data.com//license/422572"
"134","GREEN2GO","Jul-2016",510125,188746,"Benton County","Retailer since Jun 2016","http://www.502data.com//license/422572"
"135","GREEN2GO","Jun-2016",215198,79623,"Benton County","Retailer since Jun 2016","http://www.502data.com//license/422572"
"136","THE HERBERY","Sep-2016",688706,254821,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"137","THE HERBERY","Aug-2016",812785,300730,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"138","THE HERBERY","Jul-2016",546644,202258,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"139","THE HERBERY","Jun-2016",500149,185055,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"140","THE HERBERY","May-2016",497459,184060,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"141","THE HERBERY","Apr-2016",304964,112837,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"142","THE HERBERY","Mar-2016",521768,193054,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"143","THE HERBERY","Feb-2016",480914,177938,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"144","THE HERBERY","Jan-2016",449026,166140,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"145","THE HERBERY","All-2015",4033701,1449019,"Clark County","Retailer since Feb 2015","http://www.502data.com//license/084045"
"146","HIGHWAY 7","Sep-2016",663740,245584,"Pierce County","Retailer since Aug 2014","http://www.502data.com//license/414889"
