"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"129","DOUBLE DELICIOUS","Jul-2016",270066,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"130","DOUBLE DELICIOUS","Jun-2016",232731,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"131","DOUBLE DELICIOUS","May-2016",215085,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"132","DOUBLE DELICIOUS","Apr-2016",219421,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"133","DOUBLE DELICIOUS","Mar-2016",206375,3,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"134","DOUBLE DELICIOUS","Feb-2016",186481,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"135","DOUBLE DELICIOUS","Jan-2016",217810,0,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"136","DOUBLE DELICIOUS","All-2015",1555092,176273,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"137","DOUBLE DELICIOUS","All-2014",144281,48094,"Chelan County","Producer/Processor since Jul 2015","http://www.502data.com//license/414462"
"138","OPTIMUM EXTRACTS","Sep-2016",370568,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"139","OPTIMUM EXTRACTS","Aug-2016",360650,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"140","OPTIMUM EXTRACTS","Jul-2016",198099,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"141","OPTIMUM EXTRACTS","Jun-2016",218903,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"142","OPTIMUM EXTRACTS","May-2016",147595,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"143","OPTIMUM EXTRACTS","Apr-2016",139184,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"144","OPTIMUM EXTRACTS","Mar-2016",94380,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"145","OPTIMUM EXTRACTS","Feb-2016",88944,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"146","OPTIMUM EXTRACTS","Jan-2016",92325,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
"147","OPTIMUM EXTRACTS","All-2015",73907,0,"King County","Processor since Oct 2015","http://www.502data.com//license/416911"
